//==================================================================================================================
//======================================== Blood Castle Configuration ==============================================
//============================================== SunRise ===========================================================
//==================================================================================================================
//--------------------------------------------------------------------------------------------------//
// Time Settings                                                                                    //
// Castle Doors Open (Min)      Event Duration (Min)   Close After Divine Weapon Is Delivered (Min) //
//--------------------------------------------------------------------------------------------------//
0
	3				15				1
end

//--------------------------------------------------------------------------------------------------//
// Configurations                                                                                   //
// Item Drop Rate (10/N)      Excellent Item Drop Rate (1/N)    Monster Regen Time (Min)            //
//--------------------------------------------------------------------------------------------------//
1
	100				1200				0
end

//--------------------------------------------------------------------------------------------------//
// Castle Doors                                                                                     //
// Castle Lvl                     Crystal Statue Heal               Castle Door Heal                //
//--------------------------------------------------------------------------------------------------//
2
	0				65000				150000
	1				105000				205000
	2				145000				260000
	3				185000				325000
	4				225000				400000
	5				265000				480000
	6				305000				565000
end
//--------------------------------------------------------------------------------------------------//
// Experience Calc                                                                                  //
// Blood Castle Lvl                  Experience	  				                    //
//--------------------------------------------------------------------------------------------------//
3
	0				3.0
	1				3.0
	2				3.0
	3				3.0
	4				1.0
	5				1.0
	6				1.0
end

//--------------------------------------------------------------------------------------------------//
// Event Schedules                                                                                  //
// Hours (24 Format)   Minutes (59 Format) 						            //
//--------------------------------------------------------------------------------------------------//
4
	00	24
	01	30
	03	30
	05	30
	07	30
	09	30
	11	30
	13	30
	15	30
	17	05
	21	55
	22	20
	23	15
end

