//-----------------------------------------------------------------------------//
//	Enable
//-----------------------------------------------------------------------------//
0
	1
end

//-----------------------------------------------------------------------------//
// [ItemGroup]  =[1] - Item Type
// [ItemNumber] =[2] - Item Index
// [ItemLvl] 	=[3] - Item Min Level
// [ItemMaxLvl] =[4] - Item Max Level
// [ItemOpt]	=[5] - Item Skill
// [ItemLuck]	=[6] - Item Luck
// [ItemSkill]	=[7] - Item Option
// [IsExc]	=[8] - Item Exc
// [IsAnc]	=[9] - Item Anc
//--------------------------------------------------------------------------------------//
//	[1]	[2]	[3]	[4]	[5]	[6]	[7]	[8]	[9]	[Name]	//	
//--------------------------------------------------------------------------------------//
1
	14	11	8	12	0	0	0	1	0
	14	11	8	12	0	0	0	3	0
	14	11	8	12	0	0	0	2	0
	14	11	8	12	0	0	0	4	0
	14	11	8	12	0	0	0	1	0
	7	3	9	11	0	1	3	1	0
	8	3	9	11	0	1	3	1	0
	9	3	9	11	0	1	3	1	0
	10	3	9	11	0	1	3	1	0
	11	3	9	11	0	1	3	1	0
	7	1	9	11	0	1	3	1	0
	8	1	9	11	0	1	3	1	0
	9	1	9	11	0	1	3	1	0
	10	1	9	11	0	1	3	1	0
	11	1	9	11	0	1	3	1	0
	7	14	9	11	0	1	3	1	0
	8	14	9	11	0	1	3	1	0
	9	14	9	11	0	1	3	1	0
	10	14	9	11	0	1	3	1	0
	11	14	9	11	0	1	3	1	0
	8	15	9	11	0	1	3	1	0
	9	15	9	11	0	1	3	1	0
	10	15	9	11	0	1	1	1	0
	11	15	9	11	0	1	1	1	0
	7	25	9	11	0	1	3	1	0
	8	25	9	11	0	1	3	1	0
	9	25	9	11	0	1	3	1	0
	10	25	9	11	0	1	1	1	0
	11	25	9	11	0	1	1	1	0
	9	25	9	11	0	1	3	1	0
	10	25	9	11	0	1	1	1	0
	11	25	9	11	0	1	1	1	0
end
